month,avg_water_temp
Jan-15,27
Feb-15,27
Mar-15,29
Apr-15,29
May-15,32
Jun-15,30
Jul-15,28
Aug-15,26
Sep-15,25
Oct-15,28
Nov-15,27
Dec-15,27
Jan-16,26
Feb-16,28
Mar-16,27
Apr-16,28
May-16,27
Jun-16,26
Jul-16,25
Aug-16,25
Sep-16,23
Oct-16,23
Nov-16,25
Dec-16,23
Jan-17,25
Feb-17,27
Mar-17,28
Apr-17,27
May-17,25
Jun-17,22
Jul-17,22
Aug-17,21
Sep-17,22
Oct-17,21
Nov-17,23
Dec-17,21
Jan-18,23
Feb-18,23
Mar-18,25
Apr-18,28
May-18,29
Jun-18,26
Jul-18,24
Aug-18,24
Sep-18,24
Oct-18,22
Nov-18,22
Dec-18,23
Jan-19,18
Feb-19,19.6
Mar-19,23
Apr-19,25
May-19,24
Jun-19,25
Jul-19,24
Aug-19,26
Sep-19,22
Oct-19,21
Nov-19,21
Dec-19,22
Jan-20,23
Feb-20,24
Mar-20,26
Apr-20,26
May-20,28
Jun-20,26
Jul-20,28
Aug-20,26
Sep-20,23
Oct-20,21
Nov-20,20
Dec-20,20
Jan-21,24
Feb-21,26
Mar-21,24
Apr-21,26
May-21,27
Jun-21,25
Jul-21,24
Aug-21,22
Sep-21,23
Oct-21,24
Nov-21,24
Dec-21,21
Jan-22,22
Feb-22,23
Mar-22,25
Apr-22,29
May-22,25
Jun-22,26
Jul-22,25
Aug-22,22
Sep-22,24
Oct-22,23
Nov-22,25
Dec-22,24
